transaction_id,customer_id,product_id,product_name,quantity,price_per_unit,total_price,transaction_date
e3e70682-c209-4cac-a29f-6fbed82c07cd,CUST001,PROD-8764,monitor,7,380.19,2661.33,2025-03-09
37ebdcd9-e87a-4613-a443-df789558867f,CUST002,PROD-1948,monitor,7,25.04,175.28,2025-06-05
4f65d4d9-259f-4329-a6f4-590b9a164106,CUST003,PROD-5781,tablet,9,245.53,2209.77,2025-03-24
e9bb17bc-a3f2-49bf-9c63-16b950f24455,CUST004,PROD-7840,printer,5,484.06,2420.3,2025-06-26
17e0aa3c-0398-4ca8-aa7e-9d498c778ea6,CUST005,PROD-0975,webcam,6,293.77,1762.62,2025-05-20
101fbccc-ded7-43e8-b421-eaeb534097ca,CUST006,PROD-3287,printer,4,254.82,1019.28,2025-01-14
820865d6-e005-4860-91ef-1922fe43c49e,CUST007,PROD-4841,laptop,5,74.17,370.85,2025-03-04
3405095c-8a50-46c1-ac18-8efbd080e66e,CUST008,PROD-9471,printer,2,311.09,622.18,2025-06-02
3dfabc08-935d-4d72-9129-fb7c6288e1a5,CUST009,PROD-2094,webcam,5,493.69,2468.45,2025-01-12
eabca8d0-b341-4acd-bf0a-c0f1a425799a,CUST012,PROD-5917,mouse,5,53.89,269.45,2025-05-01
3e37952d-30bc-4b0e-9857-010255d44936,CUST013,PROD-3525,webcam,2,449.92,899.84,2025-06-06
2577bffa-c87a-4463-99c1-6a0d0febd845,CUST014,PROD-9891,printer,6,238.71,1432.26,2025-01-23
d480865f-9b38-4e80-b042-e325a28f5ab0,CUST015,PROD-5109,tablet,2,180.13,360.26,2025-02-05
b7d6467b-2f5a-422a-b87f-43fdf6062541,CUST016,PROD-0086,headphones,6,307.39,1844.34,2025-01-18
38884479-11eb-4d49-828a-1c22d5fdb76a,CUST017,PROD-6208,tablet,4,483.47,1933.88,2025-01-06
fcfcfa81-b306-4700-99d5-f97098b33c6e,CUST018,PROD-7923,charger,8,224.13,1793.04,2025-01-10
d86dbf11-2880-4c5d-ad1b-8f60c9e4dab2,CUST019,PROD-1972,tablet,9,133.94,1205.46,2025-03-31
91b15f5d-e66c-436e-a8ef-8f5fae68690a,CUST020,PROD-5642,charger,9,458.42,4125.78,2025-05-13
143e2e04-bdd7-419b-b53c-7c99032f06ca,CUST021,PROD-4237,webcam,2,361.25,722.5,2025-04-27
971c702d-5bf4-4c04-ac64-2b4c49b25ded,CUST022,PROD-9246,laptop,7,356.58,2496.06,2025-03-20
dfe1b307-9172-4f0a-ac7c-8803e01bbf50,CUST024,PROD-9602,tablet,6,125.74,754.44,2025-01-11
7244f536-285e-45b4-b396-9057425cb200,CUST025,PROD-8900,mouse,6,353.3,2119.8,2025-03-03
0cc36d8c-7786-4fe5-9675-ebf74fe30c9a,CUST026,PROD-6381,keyboard,2,99.58,199.16,2025-05-19
66dd7794-03c5-4c71-bca0-55362169df82,CUST027,PROD-0300,tablet,10,114.74,1147.4,2025-05-10
30c1fb6a-1908-4515-9cb0-17c18741ae91,CUST028,PROD-4421,laptop,3,402.57,1207.71,2025-06-13
14d30dbc-a0ac-44c9-a58d-e17eec3aa314,CUST029,PROD-1428,printer,8,50.15,401.2,2025-05-05
df3277fd-1d77-4e40-98d8-7776a51ad4f3,CUST030,PROD-0034,monitor,6,438.17,2629.02,2025-03-01
914591ae-f03d-466a-9dec-c06af24dfdd8,CUST031,PROD-9776,charger,8,58.98,471.84,2025-06-17
6025f0ae-3535-4579-ada4-4da189b5b368,CUST032,PROD-2455,smartphone,9,149.09,1341.81,2025-03-11
c787ddfb-5697-417c-97fd-3736b7ef941c,CUST033,PROD-2294,headphones,2,275.98,551.96,2025-03-16
4b1cb8bd-2130-460c-8c69-778ffd42f697,CUST034,PROD-0428,laptop,9,105.58,950.22,2025-01-12
5419eefc-d5e7-4e3f-a736-17d94d7bd307,CUST035,PROD-8775,printer,10,275.88,2758.8,2025-06-02
1fd3c017-57f9-4d1e-8ff4-c56bf9ea2c64,CUST036,PROD-6045,printer,5,225.27,1126.35,2025-05-12
2aa36cf7-eb70-4a65-a7d9-9a23e4f7625e,CUST037,PROD-1113,mouse,10,399.98,3999.8,2025-02-10
191b8adf-0202-461c-a283-08690fa7ee05,CUST038,PROD-7793,laptop,6,289.95,1739.7,2025-01-15
ffc573d5-fd0b-470e-b85a-f4635e4af862,CUST039,PROD-6351,monitor,5,96.02,480.1,2025-06-07
f2ad985f-ff3e-4ba1-8ac7-28b4a41865bf,CUST041,PROD-1376,laptop,5,240.88,1204.4,2025-04-15
fd1ac7ce-1ad0-46f2-a6bd-d974d3b564b0,CUST042,PROD-9668,charger,2,340.97,681.94,2025-05-10
e6256403-bf3d-40bb-b66a-c168b4a1ca79,CUST044,PROD-8249,smartphone,1,422.02,422.02,2025-01-29
4b5ca436-953c-478e-a106-7a8cd7a3283c,CUST045,PROD-1180,monitor,9,343.33,3089.97,2025-02-11
03e9ba02-4cea-4df0-8a66-dc4e21681081,CUST046,PROD-2275,smartphone,9,141.44,1272.96,2025-03-14
089b30a0-809f-4923-87a1-798fe6addd9e,CUST047,PROD-8916,webcam,4,425.5,1702.0,2025-05-25
e6b106e2-8911-4af0-8a27-6dda34c3494a,CUST048,PROD-7699,monitor,10,413.51,4135.1,2025-06-13
a83023ab-053e-4b42-8c4d-a021dd620222,CUST049,PROD-4894,keyboard,7,291.95,2043.65,2025-01-11
f164f9d8-4312-4ce2-9c21-51e17e56ac3d,CUST050,PROD-6602,keyboard,8,248.86,1990.88,2025-06-29
babd4745-497e-4f1a-bd2b-f042209818d1,CUST051,PROD-0762,headphones,6,45.77,274.62,2025-06-20
14e5064c-b799-4e8e-9a1a-7d6fdd02e100,CUST052,PROD-5609,smartphone,10,62.1,621.0,2025-03-15
788c31f6-19fa-406e-8c0a-59677579501a,CUST053,PROD-9925,tablet,10,316.92,3169.2,2025-05-14
31e9ca80-58bf-4b9e-a624-5b598c94af98,CUST054,PROD-7109,printer,4,125.3,501.2,2025-03-30
567e5862-ef15-4673-a1df-3da79d44c93e,CUST055,PROD-9426,smartphone,5,62.98,314.9,2025-02-25
f521ca9f-df5e-4f78-beeb-b4eaeab9221b,CUST056,PROD-8306,laptop,4,189.17,756.68,2025-03-12
5b471c43-7499-428c-b0c3-2323c1b199c4,CUST057,PROD-0074,keyboard,3,169.61,508.83,2025-01-04
91bacf80-aaa0-4996-8522-dc4ef1dd50bf,CUST058,PROD-1886,tablet,1,54.8,54.8,2025-02-27
6d0c62c3-254b-47ae-9d0a-b994f20b575d,CUST059,PROD-1161,smartphone,3,428.38,1285.14,2025-03-20
f45da406-bbf9-4b01-a7f9-e728c618fc1e,CUST060,PROD-6075,keyboard,4,27.39,109.56,2025-02-17
1f12a0e9-1201-4caa-9a3d-a367141b1a1b,CUST061,PROD-5203,headphones,10,318.93,3189.3,2025-03-11
24aeba79-e4b8-4987-98ba-0f0e120d7126,CUST062,PROD-1045,charger,9,303.07,2727.63,2025-01-03
dbf2eed1-3b9c-4a95-9ad7-558feecb325b,CUST063,PROD-7542,mouse,2,18.21,36.42,2025-02-08
f5fe0213-792e-4d75-95c3-6c3d5cbbc080,CUST064,PROD-8529,smartphone,4,305.14,1220.56,2025-01-18
280a07ee-4ec9-45ff-94b2-8b9d88819f42,CUST065,PROD-2358,headphones,10,64.25,642.5,2025-02-13
5f59aa2c-4a82-406a-af16-fb50c13e66af,CUST066,PROD-2906,keyboard,2,188.22,376.44,2025-05-15
a1fdcdf1-71df-44d9-bf80-c31f15a5712c,CUST068,PROD-0660,laptop,1,101.32,101.32,2025-05-20
3438b4e4-70f8-4d99-9217-7eb7e6b920da,CUST069,PROD-1214,laptop,3,360.47,1081.41,2025-04-17
cbb02fe9-2764-4a62-b02d-e52c9b050db2,CUST070,PROD-2662,monitor,8,109.24,873.92,2025-03-28
247f4d97-85fa-4d5c-afe6-171b5723a959,CUST071,PROD-1734,keyboard,1,468.8,468.8,2025-06-09
764657ca-9e65-436c-b2f7-74b1b2f11ef9,CUST072,PROD-4892,charger,1,274.4,274.4,2025-05-16
ad9d1f42-17b1-4e6e-b8af-f58ec058a332,CUST073,PROD-8640,mouse,10,55.24,552.4,2025-02-20
00109824-0a61-4be3-ab22-12c9e23b580e,CUST074,PROD-9671,mouse,5,39.65,198.25,2025-02-17
c15648ff-df0d-4301-888c-ac4e5a9414b8,CUST075,PROD-1014,webcam,2,325.23,650.46,2025-04-12
dc0520a4-87ba-4b90-9e41-5c4e57030ede,CUST076,PROD-2164,laptop,6,220.85,1325.1,2025-04-09
a08c3a00-85e7-4250-92f0-78b822696227,CUST077,PROD-8644,webcam,1,254.3,254.3,2025-03-12
2835bcdb-2347-424f-a0f9-c0749177b6d4,CUST078,PROD-6972,tablet,1,300.26,300.26,2025-05-08
79009c61-a1d2-4ebc-9aa3-892a4c88b9d8,CUST079,PROD-7857,tablet,7,103.68,725.76,2025-01-10
bec60ffe-248f-4a25-8cd8-ef2471a8c9c6,CUST080,PROD-3057,printer,6,452.68,2716.08,2025-06-20
86de3365-d8a2-40de-8296-9326fe2d9d1d,CUST081,PROD-1605,mouse,8,419.97,3359.76,2025-01-21
453432cd-ffeb-4d5f-80f5-20f49ef1c846,CUST082,PROD-3294,charger,10,88.87,888.7,2025-01-19
5487b5c3-b762-4f49-b5fd-35376f1bdd07,CUST083,PROD-6272,headphones,4,483.44,1933.76,2025-03-01
2fd3b9f2-e90f-49f8-b578-3f662114c2d6,CUST084,PROD-6676,monitor,1,395.38,395.38,2025-02-10
f0a61c5e-7074-41d4-b239-d04bcbab5b51,CUST085,PROD-6031,printer,3,423.49,1270.47,2025-02-04
a358cb1d-be3f-4afd-8e96-ed9b5d158e44,CUST086,PROD-4918,webcam,6,267.09,1602.54,2025-02-23
5a62ddc4-e209-4f49-a0a1-0d2bc57c7998,CUST087,PROD-8869,keyboard,2,300.41,600.82,2025-04-04
